date,load_kwh,pv_kwh,net_energy_kwh,gross_deficit_kwh,pv_surplus_kwh,self_consumed_pv_kwh,peak_load_kw,peak_pv_kw,peak_net_load_kw,peak_reverse_flow_kw
2025-01-01,127286.15238333332,35250.98236666667,92035.17001666666,92035.17001666666,0.0,35250.98236666667,7469.4947,5494.725,6464.5067,0.0
2025-01-02,127657.07848333333,34771.83921666667,92885.23926666666,92885.23926666666,0.0,34771.83921666667,7519.6199,5429.3182,6311.075,0.0
2025-01-03,81883.55671666666,36378.61535,45504.941366666666,50979.255849999994,5474.314483333333,30904.30086666667,4753.54,6232.0875,3777.0475,1962.9048999999995
2025-01-04,81891.73006666667,37126.127700000005,44765.602366666666,50776.28808333334,6010.685716666667,31115.441983333334,4626.107,6566.5273,3820.5825,2454.1386
2025-01-05,127674.11883333333,36638.408533333335,91035.71029999999,91035.71029999999,0.0,36638.408533333335,7474.9983,6130.3875,6521.7748,0.0
2025-01-06,126826.69011666666,36194.20901666667,90632.48109999999,90632.48109999999,0.0,36194.20901666667,7428.53,6048.5188,6337.9893,0.0
2025-01-07,126927.46214999999,34360.561200000004,92566.90095,92566.90095,0.0,34360.561200000004,7373.5665,5426.8125,6570.8076,0.0
2025-01-08,126695.94395,37169.94263333333,89526.00131666666,89526.00131666666,0.0,37169.94263333333,7400.2529,6346.5393,6527.8795,0.0
2025-01-09,127066.61820000001,35975.06208333333,91091.55611666666,91091.55611666666,0.0,35975.06208333333,7450.7115,6089.8125,6347.39,0.0
2025-01-10,81486.63841666667,35995.9717,45490.66671666667,50117.26973333333,4626.603016666667,31369.368683333334,4631.46,5738.286,3678.0862,1533.8770999999997
2025-01-11,81610.19496666666,36744.30835,44865.88661666666,50476.303933333336,5610.417316666667,31133.891033333333,4590.2659,6055.9664,3676.82,1928.7524999999996
2025-01-12,126519.32696666667,35653.43856666667,90865.8884,90865.8884,0.0,35653.43856666667,7376.2661,5661.3299,6395.5057,0.0
2025-01-13,126980.35978333333,38706.40281666667,88273.95696666666,88273.95696666666,0.0,38706.40281666667,7430.66,6209.8471,6421.5705,0.0
2025-01-14,127109.49061666666,37829.177683333335,89280.31293333333,89280.31293333333,0.0,37829.177683333335,7427.03,6219.525,6369.6794,0.0
2025-01-15,126963.89896666666,36893.556033333334,90070.34293333335,90070.34293333335,0.0,36893.556033333334,7507.7254,6093.5776,6550.806,0.0
2025-01-16,126807.76418333333,37733.612733333335,89074.15145,89074.15145,0.0,37733.612733333335,7524.4005,6199.3148,6476.5561,0.0
2025-01-17,80876.0762,38186.962733333334,42689.11346666667,48967.433183333334,6278.319716666666,31908.64301666667,4658.1401,5964.0608,3745.2125,2078.425
2025-01-18,81208.0575,37965.54848333333,43242.50901666667,49229.72451666667,5987.215499999999,31978.33298333333,4588.0665,6090.7508,3823.91,1973.2478999999998
2025-01-19,126210.84621666667,37527.706750000005,88683.13946666667,88683.13946666667,0.0,37527.706750000005,7413.62,6244.425,6435.3826,0.0
2025-01-20,126565.66615,38498.5896,88067.07655,88067.07655,0.0,38498.5896,7455.2219,6597.6375,6424.265600000001,0.0
2025-01-21,125750.14588333333,42274.2412,83475.90468333334,84258.40456666666,782.4998833333333,41491.74131666667,7419.21,7159.125,6308.5125,701.8917999999994
2025-01-22,126679.58855,37780.82418333334,88898.76436666667,88898.76436666667,0.0,37780.82418333334,7408.7913,6052.0204,6359.3457,0.0
2025-01-23,126355.43115,36789.50555,89565.9256,89565.9256,0.0,36789.50555,7448.7502,5765.1,6455.5964,0.0
