horizon_hour,n_all,mae_all_kw,rmse_all_kw,bias_all_kw,wape_all_pct,n_active,mae_active_kw,rmse_active_kw,bias_active_kw,wape_active_pct,p90_active_abs_error_kw,correlation_active
1,1336,19.08664491017964,41.440636664931155,1.15724446107785,0.8398164934117006,644,39.59458664596273,59.68795623176656,2.4011108695652292,0.8398208361887428,99.7321899999998,0.9998051706995196
2,1336,35.59028735029939,69.0351143337337,0.836033308383231,1.425257404946377,668,71.18057470059878,97.63039497074344,1.672066616766462,1.425257404946377,156.37796999999992,0.9986356020522498
3,1336,50.921038772455084,91.97729880313462,0.9076100299401266,1.9734000623590344,668,101.84207754491017,130.07554339783562,1.8152200598802533,1.9734000623590344,218.21642999999995,0.9915562848354367
4,1336,68.03748488023952,127.19015897608402,-1.4227832335329442,2.721126533661014,668,136.07496976047904,179.87404782436806,-2.8455664670658884,2.721126533661014,303.80964,0.9953005712217884
5,1336,79.66832657185628,169.4052700169538,-1.922323877245506,3.510484862275008,645,165.0117660465116,243.8093067169767,-3.978595503875963,3.5104715862306506,447.26991999999996,0.9967189178162639
6,1336,91.74277784431138,212.7055219720702,-3.4821847305389224,4.272536737737238,696,176.10309712643678,294.69812523680923,-6.685049425287356,4.272532619409585,535.1531000000004,0.9965905471865926
7,1335,111.3216624719101,242.32141391666357,-10.00576973782772,4.894510862759095,644,230.7600677018633,348.8907762896812,-20.73891211180125,4.894535577532296,608.0281300000006,0.9933341577827669
8,1335,140.48880509363298,264.02317467294756,-14.287727490636716,5.6218381442015035,668,280.76729760479043,373.2453882915537,-28.554066167664693,5.6218381442015035,608.12744,0.9803458987396128
9,1335,160.6983995505618,284.0586358862554,-12.987790711610492,6.223063637217052,668,321.15623263473054,401.56920308328483,-25.9561386227545,6.223063637217052,694.0335500000001,0.9243227513134314
10,1335,157.50893168539326,301.06792044335276,-22.418176479400753,6.2947788909448565,668,314.7820715568862,425.6149597746796,-44.802792814371266,6.2947788909448565,712.2540000000007,0.9742773942028695
11,1335,162.27927558052434,346.9695570971675,-19.71592846441948,7.145280420575257,646,335.3449006191951,498.7876971809278,-40.74143034055728,7.145190436603271,857.4389000000001,0.9863794518205519
12,1335,165.43400898876405,377.6601628199187,-21.430641048689132,7.698631310592261,696,317.3185925287356,523.0427526293741,-41.10523591954021,7.698638237752119,941.6050500000001,0.9892797763308898
13,1334,194.0395116941529,412.56967219546823,-28.263520389805105,8.525955375780022,643,402.5516724727838,594.2507285688665,-58.634232348367036,8.526018679369555,1024.7563000000007,0.9806368646548782
14,1334,226.3231856821589,426.83418276948987,-36.50388898050975,9.055265776577748,667,452.6463713643178,603.634690157049,-73.0077779610195,9.055265776577748,994.5377999999998,0.9490467949995909
15,1334,247.5474476011994,442.5814171073558,-39.30910022488755,9.589502465001695,667,495.0948952023988,625.9046425275263,-78.6182004497751,9.589502465001695,1060.38872,0.8407101042422693
16,1334,253.56780644677661,476.7369577210156,-53.997357421289365,10.142427752888672,667,507.13561289355323,674.207871293549,-107.99471484257873,10.142427752888672,1086.3893,0.9396691501689275
17,1334,236.39736169415292,498.63345164863983,-54.88697488755623,10.42282859786374,644,489.6641065217391,717.6561074551272,-113.69419440993791,10.422866995306723,1174.0052600000004,0.9722710433465329
18,1334,229.66162443778111,524.2578991588745,-37.13212653673163,10.704161028740343,695,440.8168670503597,726.3241676792496,-71.27358446043166,10.704171922360862,1274.5465200000003,0.9794170645295645
19,1333,271.2562954988747,570.4573908461384,-48.890585371342844,11.934688271746438,642,563.1917704049845,821.9980047381855,-101.50190280373832,11.934633472843656,1421.5340799999992,0.96336512298161
20,1333,311.6026230307577,585.4531483683559,-60.69299962490623,12.47763027930944,666,623.6731178678679,828.2665184588672,-121.47712987987988,12.47763027930944,1347.5985,0.906309961103352
21,1333,333.0297594898725,614.6047310075994,-67.34963765941485,12.905070777336329,666,666.5595636636637,869.5085545252279,-134.80040090090088,12.905070777336329,1369.3263500000003,0.7314660678426409
22,1333,330.3052132033008,627.2729065061011,-57.47557794448613,13.209751048676816,666,661.1063801801802,887.4307839036379,-115.03745555555557,13.209751048676816,1440.6875500000003,0.8966158393148941
23,1333,341.35829152288073,747.9656128574051,-76.20902685671419,15.041085187257924,645,705.4460262015504,1075.2682910476478,-157.5006345736434,15.040965427858701,1769.8232600000001,0.9385369628062248
24,1333,388.11836834208555,924.0812476891116,-112.48372678169541,18.076016048068983,695,744.4009624460432,1279.7726619798837,-215.74665309352517,18.075977751284725,2179.2337200000006,0.9370840915788706
