month,days,mean_daily_load_kwh,mean_daily_pv_kwh,pv_load_ratio_pct,mean_daily_gross_deficit_kwh,mean_daily_pv_surplus_kwh,days_with_pv_surplus
1,31,113418.56325967742,38140.41346451613,33.62801676229293,77280.12034462365,2001.9705494623654,13
2,28,108405.5166077381,47195.52831964286,43.53609465320696,66168.78944702381,4958.801158928572,28
3,31,104536.77588978494,55300.7221327957,52.900734370361945,58386.884659677424,9150.83090268817,31
4,30,105431.44317722223,64840.45654388889,61.50011285997197,53745.02792277778,13154.041289444443,30
5,31,105640.26606451614,67356.0575172043,63.75983327803142,52286.801026881716,14002.592479569892,31
6,30,115208.94310666666,56875.83756722222,49.36755431786532,63923.78406277778,5590.678523333334,30
7,31,128094.20774569892,65358.102600000006,51.02346448775671,70502.73696344085,7766.631817741935,31
8,31,121084.2492080645,69983.83423172042,57.79763651295723,65236.867986021505,14136.45300967742,31
9,30,108861.85038777777,62582.388146111116,57.487896745449234,59230.72338722223,12951.261145555556,30
10,31,104328.46779193549,56743.51324247312,54.38929032834828,59291.64122204301,11706.686672580645,31
11,30,104104.11232055556,44505.03205444445,42.750503378200214,65061.03369611111,5461.95343,30
12,31,112591.34150860216,36332.08550107527,32.268987130151075,77708.17248333333,1448.9164758064517,14
