方法,发布时刻,样本点数,MAE（元/kWh）,RMSE（元/kWh）,偏差（元/kWh）,相关系数
附件1固定平均日曲线,0:00,48096,0.09632272538256821,0.13037726815564848,0.008669702262142377,0.9220884473008083
附件1固定平均日曲线,6:00,36072,0.11188623031714348,0.14606699974708257,0.010879366267465064,0.8923755458199912
附件1固定平均日曲线,12:00,24048,0.10640726879574187,0.13887389519799995,0.00768567864271457,0.9171216366790509
附件1固定平均日曲线,18:00,12024,0.08642058383233532,0.11625598905368974,0.002434688955422493,0.9609217681789605
前7日同刻,0:00,48096,0.04715118305056554,0.06534801504178886,-0.00015473843978709224,0.9810842938898607
前7日同刻,6:00,36072,0.0504803199157241,0.07043119426176593,-0.00026725715236194285,0.9761838736900571
前7日同刻,12:00,24048,0.048712953260146366,0.06949198328298113,-0.00019454840319361276,0.9800443861070215
前7日同刻,18:00,12024,0.043170475715236196,0.06511739751465684,0.00020377578176979336,0.9879577517364116
1月验证选出的分时更新规则,0:00,48096,0.04715118305056554,0.06534801504178886,-0.00015473843978709224,0.9810842938898607
1月验证选出的分时更新规则,6:00,36072,0.045449559443438196,0.05893413745115344,3.6737103008457536e-07,0.9831867639464063
1月验证选出的分时更新规则,12:00,24048,0.04142531695867524,0.05550758981100635,-9.353940927668572e-05,0.9871843934024824
1月验证选出的分时更新规则,18:00,12024,0.03822944326294501,0.051827999003524215,0.0003955384865190218,0.9924012985534179
