日期,日均价_元每kWh,日最低价_元每kWh,日最高价_元每kWh,日峰谷差_元每kWh
2025-01-01,0.9265215277777783,0.4038,1.5993,1.1955
2025-01-02,0.926602777777778,0.3623,1.6098,1.2474999999999998
2025-01-03,0.7386236111111111,0.2766,1.4264,1.1498
2025-01-04,0.7303166666666668,0.3175,1.4459,1.1284
2025-01-05,0.9252319444444441,0.391,1.5747,1.1837
2025-01-06,0.9289923611111112,0.371,1.6135,1.2425
2025-01-07,0.9234222222222225,0.3841,1.5672,1.1831
2025-01-08,0.917373611111111,0.3663,1.5968,1.2305
2025-01-09,0.9205923611111115,0.307,1.5726,1.2656
2025-01-10,0.7293041666666668,0.2836,1.4151,1.1315
2025-01-11,0.7342124999999997,0.2503,1.4519,1.2016
2025-01-12,0.9254215277777775,0.3872,1.6226,1.2354
2025-01-13,0.9149201388888888,0.3812,1.5303,1.1491
2025-01-14,0.9169013888888888,0.3771,1.5809,1.2038
2025-01-15,0.9231027777777777,0.4052,1.5854,1.1802
2025-01-16,0.9150513888888884,0.3275,1.6041,1.2766000000000002
2025-01-17,0.724536111111111,0.2934,1.4338,1.1404
2025-01-18,0.722370138888889,0.2881,1.3945,1.1064
2025-01-19,0.9176687500000001,0.3757,1.5934,1.2177
2025-01-20,0.9134951388888888,0.383,1.5695,1.1864999999999999
2025-01-21,0.8955743055555554,0.3668,1.5603,1.1935
2025-01-22,0.919116666666667,0.3719,1.5811,1.2092
2025-01-23,0.9220041666666668,0.34,1.6401,1.3000999999999998
2025-01-24,0.7098805555555554,0.2582,1.4135,1.1553
2025-01-25,0.7049715277777779,0.2605,1.4005,1.1400000000000001
2025-01-26,0.9162173611111112,0.3577,1.6006,1.2429000000000001
2025-01-27,0.8984333333333328,0.3871,1.5717,1.1846
2025-01-28,0.9057340277777778,0.3261,1.6056,1.2794999999999999
2025-01-29,0.889815972222222,0.3689,1.593,1.2241
2025-01-30,0.900129861111111,0.3538,1.5522,1.1984
2025-01-31,0.7113951388888888,0.2432,1.4161,1.1728999999999998
2025-02-01,0.6514930555555556,0.2537,1.1766,0.9229
2025-02-02,0.8363881944444445,0.3697,1.3998,1.0301
2025-02-03,0.8447902777777778,0.3709,1.3447,0.9738
2025-02-04,0.8491895833333337,0.381,1.3987,1.0177
2025-02-05,0.8482541666666666,0.3423,1.3848,1.0425
2025-02-06,0.8439645833333331,0.3228,1.447,1.1242
2025-02-07,0.6440388888888888,0.2631,1.2102,0.9470999999999999
2025-02-08,0.6423513888888889,0.2752,1.1675,0.8923
2025-02-09,0.841384027777778,0.3001,1.3378,1.0377
2025-02-10,0.8180638888888886,0.3637,1.352,0.9883000000000001
2025-02-11,0.828492361111111,0.36,1.343,0.983
2025-02-12,0.8264243055555558,0.3727,1.3314,0.9586999999999999
2025-02-13,0.8147909722222225,0.3026,1.3496,1.047
2025-02-14,0.6310999999999999,0.2247,1.1609,0.9362
2025-02-15,0.6378472222222226,0.2846,1.1564,0.8718000000000001
2025-02-16,0.8303222222222222,0.34,1.3733,1.0332999999999999
2025-02-17,0.8173527777777777,0.3597,1.3221,0.9624
2025-02-18,0.8145215277777781,0.3707,1.3605,0.9898
2025-02-19,0.816429861111111,0.3736,1.3304,0.9568000000000001
2025-02-20,0.8168069444444446,0.3079,1.3465,1.0386
2025-02-21,0.6208499999999999,0.2473,1.1504,0.9031000000000001
2025-02-22,0.6352840277777775,0.2472,1.2217,0.9745
2025-02-23,0.8153784722222226,0.3868,1.375,0.9882
2025-02-24,0.8082493055555555,0.3649,1.3842,1.0193
2025-02-25,0.7940965277777777,0.3725,1.3107,0.9381999999999999
2025-02-26,0.8055381944444445,0.3378,1.3369,0.9991
2025-02-27,0.7979118055555552,0.3235,1.3501,1.0266000000000002
2025-02-28,0.6166784722222224,0.2409,1.1629,0.922
2025-03-01,0.6142222222222223,0.2405,1.1576,0.9171
2025-03-02,0.8122930555555549,0.3093,1.3111,1.0017999999999998
2025-03-03,0.8118500000000001,0.3264,1.3164,0.99
2025-03-04,0.800627777777778,0.3381,1.3441,1.006
2025-03-05,0.7945006944444445,0.3644,1.3305,0.9661
2025-03-06,0.7918569444444445,0.3327,1.3434,1.0107
2025-03-07,0.608501388888889,0.1545,1.1883,1.0337999999999998
2025-03-08,0.5972631944444449,0.21,1.1729,0.9629000000000001
2025-03-09,0.7838090277777777,0.3641,1.3356,0.9714999999999999
2025-03-10,0.8024513888888887,0.3691,1.3308,0.9617
2025-03-11,0.7893930555555556,0.3822,1.3372,0.955
2025-03-12,0.7801680555555556,0.35,1.3485,0.9985
2025-03-13,0.7996375,0.3312,1.3317,1.0005000000000002
2025-03-14,0.5913868055555551,0.1602,1.1955,1.0352999999999999
2025-03-15,0.6047722222222226,0.2699,1.1777,0.9077999999999999
2025-03-16,0.7848951388888887,0.3598,1.3095,0.9497000000000001
2025-03-17,0.7601756944444444,0.367,1.3189,0.9519
2025-03-18,0.7760166666666665,0.3707,1.3196,0.9489000000000001
2025-03-19,0.7718381944444447,0.3401,1.3494,1.0092999999999999
2025-03-20,0.7786381944444443,0.2794,1.3228,1.0434
2025-03-21,0.5702902777777777,0.1352,1.1788,1.0436
2025-03-22,0.5873881944444442,0.1546,1.1642,1.0095999999999998
2025-03-23,0.767178472222222,0.3404,1.3289,0.9884999999999999
2025-03-24,0.7674861111111111,0.3336,1.3583,1.0247000000000002
