月份,观测点数,均价_元每kWh,标准差_元每kWh,最低价_元每kWh,最高价_元每kWh
1,4464,0.8596107750896057,0.37446041057586654,0.2432,1.6401
2,4032,0.7695711805555556,0.32002048979198433,0.2247,1.447
3,4464,0.7255331989247312,0.31461304563804254,0.0913,1.3583
4,4320,0.6988464120370371,0.3065227092307576,0.0076,1.3932
5,4464,0.6912003360215054,0.30781864461490527,0.0389,1.4134
6,4320,0.7662756712962964,0.31558148279870446,0.1708,1.4509
7,4464,0.8300811827956989,0.36652628048069025,0.1337,1.7936
8,4464,0.7864659722222223,0.3691209042673015,0.0665,1.7686
9,4320,0.7202801851851851,0.32099949917891435,0.0376,1.4221
10,4464,0.7202710573476703,0.31772288457796855,0.039,1.3793
11,4320,0.7610268287037036,0.3244579042776986,0.2088,1.4244
12,4464,0.8617168234767025,0.3760016339804245,0.2354,1.6698
